id,date,flow,category,room,item,counterparty,amount_cny,payment_status,project_status,note
EXP-0001,,expense,electrical,whole_house,入户线及配电箱重新铺设,电工,1200,paid,completed,含100米6平方蓝色铜线一卷；约使用40米
EXP-0002,,expense,plumbing,bathroom,卫生间及洗衣机给排水改造,水电工,500,paid,completed,含马桶浴室柜淋浴热水器及洗衣机相关水路人工
EXP-0003,,expense,material,bathroom,水泥,建材商,17,paid,consumed,用于卫生间水路改造收口
EXP-0004,,expense,material,bathroom,沙子,建材商,5,paid,consumed,用于卫生间水路改造收口
EXP-0005,,expense,demolition,whole_house,拆除四个旧门,拆除人员,100,paid,completed,卫生间卧室厨房及客厅通道旧门
INC-0001,,income,recycling,bedroom,旧书回收,废品回收方,55,received,completed,卧室书籍回收收入
